github link,name,dsecription,category
https://github.com/stack-auth/stack-auth?tab=readme-ov-file,Stack Auth,Open-source Auth0/Clerk alternative,dev-tools
https://github.com/zappzerapp/laravel-ingest,Laravel Ingest,"A robust, configuration-driven ETL and data import framework for Laravel",dev-tools
https://github.com/kangtastic/timestation,Time Station Emulator,"Synchronize most radio-controlled (""atomic"") clocks and watches using almost any phone or tablet",hardware
https://github.com/ygwyg/MAHORAGA,MAHORAGA,trading agent powered by social sentiment analysis,finance
https://github.com/0xSero/parchi,Parchi,Your AI-powered browser copilot.,AI Agents
https://github.com/ParasSharma2306/obsidian,Obsidian - WhatsApp Chat Viewer,What's app exports viewer.,Data
https://github.com/addyosmani/video-compress,Browser Video Compressor,Video compression in the browser using FFMPEG.wasm,Video
https://github.com/vxcontrol/pentagi,PentAGI,Penetration testing Artificial General Intelligence,cyber secuirty
https://github.com/adolfousier/whispercrabs,WhisperCrabs,"Floating recording button, click, and transcribe to input",productivity
https://github.com/jupyter-naas/abi,Agentic Brain Infrastructure,"Multi-agent AI Operating System with semantic knowledge graphs, ontology-driven reasoning, and intelligent workflow automation.",AI Agents
